,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Oda,20,JP,1570055377,57,35.19,132.5,78.8,10.29
1,Puerto Ayora,40,EC,1570055378,64,-0.74,-90.35,75.2,20.8
2,Aripuana,89,BR,1570055247,62,-9.17,-60.63,85.44,1.41
3,Ushuaia,40,AR,1570055143,70,-54.81,-68.31,42.8,36.91
4,Gobabis,0,NA,1570055378,9,-22.45,18.97,60.85,11.32
5,Saint-Philippe,75,CA,1570055379,61,45.36,-73.48,52.0,10.29
6,Margate,0,AU,1570055204,45,-43.03,147.26,62.6,11.41
7,Hasaki,75,JP,1570055380,94,35.73,140.83,69.8,3.36
8,Kenai,90,US,1570055380,70,60.55,-151.26,50.0,6.15
9,Hermanus,99,ZA,1570055380,85,-34.42,19.24,57.99,1.99
10,Nabire,27,ID,1570055381,95,-3.36,135.5,66.64,1.03
11,Baherden,0,TM,1570055381,38,38.44,57.43,52.55,3.31
12,Cabo San Lucas,40,MX,1570055232,61,22.89,-109.91,87.01,4.7
13,Esna,42,RO,1570055382,59,45.2,27.57,64.84,7.96
14,Georgetown,20,GY,1570055165,78,6.8,-58.16,84.2,9.17
15,Saint George,20,GR,1570055383,88,39.45,22.34,64.4,5.82
16,Husavik,31,CA,1570055383,75,50.56,-96.99,44.01,4.0
17,Avarua,100,CK,1570055383,57,-21.21,-159.78,77.0,8.05
18,Cape Town,20,ZA,1570055233,87,-33.93,18.42,62.01,4.7
19,Port Elizabeth,1,US,1570055384,40,39.31,-74.98,91.4,6.93
20,East London,90,ZA,1570055384,56,-33.02,27.91,64.05,6.02
21,Jamestown,0,AU,1570055122,91,-33.21,138.6,48.32,3.51
22,New Norfolk,0,AU,1570055384,45,-42.78,147.06,62.6,11.41
23,Ribeira Grande,40,PT,1570055385,68,38.52,-28.7,68.0,6.93
24,La Playona,57,HN,1570055385,43,15.12,-88.98,84.0,1.01
25,Rikitea,100,PF,1570055386,86,-23.12,-134.97,61.86,10.13
26,Hobyo,86,SO,1570055386,88,5.35,48.53,77.66,11.12
27,Provideniya,75,RU,1570055387,86,64.42,-173.23,41.0,22.37
28,Paita,0,PE,1570055327,290,-5.09,-81.11,62.6,16.11
29,Vaini,31,IN,1570055387,94,15.34,74.49,74.67,1.66
30,Bilma,0,NE,1570055387,15,18.69,12.92,89.79,9.08
31,Barrow,0,AR,1570055388,51,-38.31,-60.23,50.57,10.94
32,Punta Arenas,75,CL,1570055388,72,-53.16,-70.91,46.4,33.33
33,Albany,90,US,1570055325,87,42.65,-73.75,62.01,5.82
34,San Vicente de Canete,35,PE,1570055388,85,-13.08,-76.38,62.52,8.25
35,Sinnamary,21,GF,1570055389,77,5.38,-52.96,82.12,21.45
36,Yellowknife,75,CA,1570055389,53,62.45,-114.38,51.8,12.75
37,Iracoubo,21,GF,1570055390,68,5.48,-53.21,82.11,9.17
38,Ixtapa,90,MX,1570055390,74,20.71,-105.21,84.2,9.17
39,Bredasdorp,76,ZA,1570055391,87,-34.53,20.04,55.4,6.93
40,Puerto del Rosario,0,ES,1570055391,78,28.5,-13.86,75.2,4.7
41,Port Alfred,100,ZA,1570055391,93,-33.59,26.89,60.01,1.01
42,Padang,43,ID,1570055391,84,-0.92,100.36,77.86,14.5
43,Ponta do Sol,0,BR,1570055392,44,-20.63,-46.0,78.56,4.27
44,Kahului,40,US,1570055163,52,20.89,-156.47,87.8,18.34
45,Port Hardy,90,CA,1570055392,76,50.7,-127.42,53.6,13.87
46,Mataura,98,NZ,1570055393,89,-46.19,168.86,46.99,5.01
47,Tres Arroyos,0,AR,1570055393,51,-38.38,-60.28,50.57,10.94
48,Tamiahua,28,MX,1570055394,69,21.28,-97.45,83.65,8.75
49,Pangnirtung,75,CA,1570055394,93,66.15,-65.72,35.6,2.24
50,Longyearbyen,75,NO,1570055394,92,78.22,15.63,30.2,12.75
51,Butaritari,100,KI,1570055395,62,3.07,172.79,84.64,5.19
52,Kudat,75,MY,1570055395,94,6.89,116.84,75.2,2.24
53,Ostrovnoy,97,RU,1570055395,73,68.05,39.51,34.39,20.65
54,Kalabo,78,ZM,1570055396,16,-15.0,22.67,69.42,6.82
55,Hilo,90,US,1570055128,74,19.71,-155.08,80.01,22.44
56,Esperance,33,AU,1570055396,100,-33.86,121.89,55.4,8.05
57,Piripiri,88,BR,1570055397,57,-4.27,-41.78,81.8,5.17
58,Mar del Plata,92,AR,1570055397,22,-46.43,-67.52,53.72,10.47
59,Portland,90,US,1570055266,71,43.66,-70.25,57.2,11.41
60,Arraial do Cabo,0,BR,1570055293,78,-22.97,-42.02,71.6,17.22
61,Nanortalik,100,GL,1570055398,84,60.14,-45.24,41.84,4.89
62,Suba,96,CN,1570055398,98,28.73,103.51,60.58,0.96
63,Hobart,0,AU,1570055399,45,-42.88,147.33,62.6,11.41
64,Dikson,2,RU,1570055399,77,73.51,80.55,26.04,19.77
65,Pitimbu,0,BR,1570055399,83,-7.47,-34.81,75.2,5.82
66,Komsomolskiy,61,RU,1570055400,83,67.55,63.78,38.28,20.07
67,Cockburn Town,100,TC,1570055400,70,21.46,-71.14,83.33,5.1
68,Coari,60,BR,1570055400,47,-4.09,-63.14,91.75,3.04
69,Busselton,69,AU,1570055401,68,-33.64,115.35,57.0,13.42
70,Whitehorse,40,CA,1570055401,65,60.72,-135.06,51.8,9.17
71,Pevek,100,RU,1570055402,72,69.7,170.27,30.06,9.89
72,Venice,1,US,1570055402,52,27.1,-82.45,90.0,13.87
73,Meulaboh,100,ID,1570055403,79,4.14,96.13,78.93,7.16
74,Taoudenni,0,ML,1570055403,10,22.68,-3.98,90.29,4.76
75,Upernavik,33,GL,1570055404,69,72.79,-56.15,36.49,10.09
76,Mareeba,75,AU,1570055404,88,-16.99,145.42,72.0,20.8
77,Dawson,75,US,1570055405,70,39.85,-89.46,89.6,5.19
78,Bluff,0,AU,1570055405,48,-23.58,149.07,73.22,14.67
79,Ilulissat,74,GL,1570055406,31,69.22,-51.1,48.2,21.92
80,Rocha,100,UY,1570055306,94,-34.48,-54.34,51.7,15.23
81,Sao Joao da Barra,0,BR,1570055407,73,-21.64,-41.05,73.4,16.11
82,Kavieng,100,PG,1570055407,73,-2.57,150.8,82.35,1.54
83,Salinas,1,US,1570055232,45,36.67,-121.66,82.0,16.11
84,Adrar,0,DZ,1570055111,13,27.87,-0.29,89.6,8.05
85,Belaya Gora,100,RU,1570055408,77,68.54,146.19,29.02,25.05
86,Los Llanos de Aridane,40,ES,1570055408,88,28.66,-17.92,82.99,11.41
87,Arlit,66,NE,1570055408,10,18.74,7.39,89.17,11.12
88,Norden,40,DE,1570055409,87,53.59,7.21,53.6,10.29
89,Aswan,0,EG,1570055409,18,24.09,32.9,84.2,8.05
90,Clyde River,75,CA,1570055409,93,70.47,-68.59,35.6,9.17
91,Kodiak,90,US,1570055410,93,39.95,-94.76,75.2,10.29
92,Thompson,5,CA,1570055410,34,55.74,-97.86,50.0,11.41
93,Mandalgovi,100,MN,1570055410,81,45.76,106.27,28.67,19.26
94,Sao Paulo de Olivenca,92,BR,1570055411,83,-3.38,-68.87,78.34,0.98
95,Lebu,40,ET,1570055411,77,8.96,38.73,59.0,4.7
96,Umea,0,SE,1570055412,86,63.83,20.26,37.4,10.29
97,Ayan,0,IR,1570055412,36,38.23,44.7,45.92,3.06
98,Itupiranga,75,BR,1570055413,88,-5.13,-49.33,78.8,3.36
99,Norman Wells,90,CA,1570055413,93,65.28,-126.83,46.4,2.24
